micro_market,zip_code,property_type,price_bucket,sqft_bucket,beds,baths,n_listings,median_dom_days,p75_dom_days,pct_fast_seller,observed_ratio
27101|single_family|na|500-1000|2|1,27101,single_family,na,500-1000,2,1,21,40.0,95.0,42.9,0.0
27107|single_family|na|1000-1500|4|1,27107,single_family,na,1000-1500,4,1,7,40.0,63.0,42.9,0.0
27107|single_family|na|500-1000|3|1,27107,single_family,na,500-1000,3,1,21,40.0,82.0,42.9,0.0
27107|single_family|na|2500-3000|3|2,27107,single_family,na,2500-3000,3,2,19,40.0,61.5,42.1,0.0
27106|single_family|na|2500-3000|3|3,27106,single_family,na,2500-3000,3,3,12,40.0,72.0,41.7,0.0
27127|single_family|na|1500-2000|3|2,27127,single_family,na,1500-2000,3,2,114,40.0,61.0,41.2,0.0
27127|single_family|na|3000-3500|3|2,27127,single_family,na,3000-3500,3,2,17,40.0,48.0,41.2,0.0
27101|single_family|na|1000-1500|2|2,27101,single_family,na,1000-1500,2,2,10,40.0,48.5,40.0,0.0
27103|single_family|na|1000-1500|4|3,27103,single_family,na,1000-1500,4,3,10,40.0,46.75,40.0,0.0
27103|single_family|na|500-1000|1|1,27103,single_family,na,500-1000,1,1,5,40.0,78.0,40.0,0.0
27260|single_family|na|1500-2000|3|2,27260,single_family,na,1500-2000,3,2,5,40.0,54.0,40.0,0.0
27260|single_family|na|1000-1500|2|1,27260,single_family,na,1000-1500,2,1,13,40.0,54.0,38.5,0.0
27106|single_family|na|2500-3000|4|3,27106,single_family,na,2500-3000,4,3,29,40.0,54.0,37.9,0.0
27455|single_family|na|1000-1500|2|2,27455,single_family,na,1000-1500,2,2,8,40.0,47.0,37.5,0.0
27106|single_family|na|2500-3000|3|2,27106,single_family,na,2500-3000,3,2,9,40.0,54.0,33.3,0.0
27455|townhome|na|1000-1500|2|2,27455,townhome,na,1000-1500,2,2,15,40.0,54.0,33.3,0.0
27103|single_family|na|1500-2000|4|2,27103,single_family,na,1500-2000,4,2,28,40.0,70.5,32.1,0.0
27407|single_family|na|1500-2000|4|2,27407,single_family,na,1500-2000,4,2,13,40.0,47.0,30.8,0.0
27104|single_family|na|1500-2000|4|2,27104,single_family,na,1500-2000,4,2,7,40.0,64.5,28.6,0.0
